近七天的总销售额	近七天有销售额
王宝强主演的电影	王宝强有电影
1989年上海浦东的人口数	1989年上海市浦东有人口
天津人口有多少	天津市有人口
1886年上海浦东的人口数	1886年上海市浦东有人口
1999年上海浦东的人口数	1999年上海市浦东有人口
董文哲是谁	董文哲
健康	健康
发展趋势	发展趋势
自然环境	自然环境
1986年	1986年
复仇者联盟4什么时候上映	复仇者联盟4有上映时间
2019年4月9日天气怎么样	2019年4月9日有天气
如何从天津大学到天津站	天津大学到天津市站有路线
共享汽车最高时速是多少	共享汽车有最高时速
天大计算机学院有多少个班级	天大计算机学院有班级
中国有多少人	中国有人口
今天的热搜新闻是什么	今天有热搜新闻
高考科目有哪些	高考有科目
天津去年的GDP是多少	天津市去年有GDP
本周上映的电影有什么	本周上映有电影
哪家公司开出的公司高	开出工资高有公司
哪家公司开出的工资高	开出工资高有公司
华为公司上市了吗	华为公司上市
我国经济发展	我国有经济发展
天津市2019的人口数量	天津市2019有人口量
中国人口	中国有人口
近期好看电影	近期有电影
哪个哪个城市空气最好	空气最好有城市
云南人口？	云南省有人口
大人犯罪吗？	大人有犯罪
什么车经济又实用？	经济实用有车
白银天气预报？	白银区有天气预报
我的酒量有多少	我有酒量
哪个路段车辆多	车辆多有路段
员工怎么能团结	员工怎么能团结
甘肃人口在中国的比例	中国甘肃省人口有比例
甘肃男女比例	甘肃省有男女比例
甘肃属于贫困省吗	甘肃省属于贫困省
中国对临聘人员的工资标准	中国临聘人员有工资标准
中国对未成年人保护法	中国有未成年人保护法
2018年中国的人口增长率同比2019	2018年中国有人口增长率
天津市2019年的人口是多少	天津市2019年有人口
2018年企业销售额最高的	2018年最高销售额有企业
行业分类	行业分类
世界最贵的水果	世界最贵有水果
世界最贵的水	世界最贵有水
中国富豪	中国富豪
甘肃最贫困的地区	甘肃省最贫困有地区
甘肃最贫困人口	甘肃省最贫困有人口
甘肃最贫困家庭	甘肃省最贫困有家庭
天津所有商场2019年的营业额是多少	天津市商场2019年有营业额
人口问题	有人口问题
人口问，营业额，	人口问，有营业额，
人口问，营业额，订单量	人口问，有营业额，订单量
人口问，营业额，订单量，成交量，班级，	人口问，有营业额，订单量，成交量，班级，
人口问，营业额，订单量，成交量，班级，，员工，学科，成绩	人口问，有营业额，订单量，成交量，班级，，员工，学科，成绩
语文成绩前三名	语文成县绩前三名有学生
15点天津津南区海河教育园的车流量	15点天津市津市南区海河教育园有车流量
明天天气怎样	明天有天气
最近票房最高的电影	最近票房最高有电影
最近票房最低的电影	最近票房最低有电影
1966年上海浦东的人口数	1966年上海市浦东有人口
1968年上海浦东的人口数	1968年上海市浦东有人口
1978年上海浦东的人口数	1978年上海市浦东有人口
这几天的总销售额，北京市2018年总人口多少？今天	北京2018年有人口、销售额
1786年上海浦东的人口数	1786年上海市浦东区有人口
三年二班语文平均成绩	三年二班语文有平均成绩
三年二班数学最高分	三年二班数学有最高分
三年二班英语最高分	三年二班英语有最高分
明天最高温度	明天有最高温度
明天空气质量怎么样	明天有空气质量
最近的热门帖子是什么	最近有热门帖子
gdb增长情况	gdb有增长情况
津南区车流量大小	津市南区有车流量
南开区车流量最大是什么时候	南开区车流量最大有时间
明天最低温度	明天有最低温度
京东方的股票代码	京东方有股票代码
四年三班有多少人	四年三班有人口
土地面积最大的省份	土地面积最大有省份
土地面积最大的省份有多大	土地面积最大有省份
“调音师”一周总票房	《调音师》一周有总票房
找出颜色为红色的法拉利	红色有法拉利
阿里巴巴员工的工作时长	阿里巴巴员工有工作时长
阿里巴巴员工的平均薪资	阿里巴巴员工有平均薪资
阿里巴巴高层的平均年龄	阿里巴巴高层有平均年龄
张艺兴	张艺兴
近10天新增关注公众号人数	近10天新增关注公众号有人口
近一个月的阅读量	近一个月有阅读量
近五年全国晚婚人口趋势	近五年全国晚婚有人口趋势
单日票房最高的电影院	最高单日票房有电影院
按2018年GDP增量速度统计省份	按省份统计有2018年GDP增量速度
出国留学年限大于五的求职者	出国留学年限大于五有求职者
出国留学年限大于五年的求职者	出国留学年限大于五年有求职者
出国留学年限大于等于五年的求职者	出国留学年限大于等于五年有求职者
出国留学年限大于等于五的求职者	出国留学年限大于等于五有求职者
身高最高的十个人姓名	身高最高有十个人姓名
年龄最大的十个人照片	年龄最大有十个人照片
平均月薪最高的地区	平均最高月薪有地区
平均起薪最高的地区	平均最高起薪有地区
查看股价涨幅最大的公司	最大涨幅股价有公司
查看点赞数最多的推送	最多点赞有推送
查看好评数最多的订单	最多好评有订单
华为近一个月内裁员人数	华为近一个月内有裁员人口
美国第十任总统的儿子是谁	美国第十任总统有儿子
有多少人用python编程	《python》编程有人口
今天多少人出生	今天有出生人口
今天多少人死亡	今天有死亡人口
今天多少人生病	今天有生病人口
今天多少人出国	今天有出国人口
今天多少人在家	今天有在家人口
湖北有多少个城市	湖北省有城市
湖北有多少县城	湖北省有县城
湖北有多少万达	湖北省有万达
湖北有多少电影院	湖北省有电影院
湖北有多少电饭店	湖北省有电饭店
湖北有多少网吧	湖北省有网吧
天津滨江道有多少家广场	天津市有滨江区道家广场
天津2018年离婚人数	天津市2018年有离婚人口
天津2018年离婚结婚比	天津市2018年有离婚结婚比
天津2018年结婚人数	天津市2018年有结婚人口
天津2018年5月20日结婚人数	天津市2018年5月20日有结婚人口
明天天气怎么样	明天有天气
四维图新股票的历史最高点是多少	四维图新股票有历史最高点
大庆2018年人口数量	大庆2018年有人口
武汉人均GDP	武汉有人均GDP
4月15号小米手机的营业额	4月15号小米手机有营业额
奥迪A8最近的价格浮动	奥迪A8最近有价格浮动
张丹峰与经纪人的故事	张丹峰与经纪人有故事
明天北京的空气状况如何	明天北京市有空气状况
神奇动物在哪里的上映时间	神奇动物有上映时间
NBA赛程	NBA赛程
空气质量	有空气质量
成绩	有成绩
班级	有班级
营业额	有营业额
订单量	有订单量
股票	股票
成交量	有成交量
学科	有学科
路段	有路段
犯罪问题	犯罪问题
天津市2018年的GDP	天津市2018年有GDP
最近电影票房最高的电影	最近最高电影票房有电影
天气预报准确率	天气预报有准确率
如何让人喜欢你	如何让人喜欢你
如何摆脱负面情绪	如何摆脱负面情绪
如何摆脱负面情绪	如何摆脱负面情绪
怎么背单词	怎么背单词
学习不好怎么办	学习不好有办法
睡眠不好咋办	睡眠不好有办法
做梦鬼压床	做梦有鬼压床
人口如何增长	人口有增长
书怎么精读	书有精读
阿里巴巴员工的平均工资	阿里巴巴员工有平均工资
近10天内新增关注公众号人数	近10天内新增关注公众号有人口
平均起薪最高的公司	平均最高起薪有公司
查看股价涨幅最小的公司	最小涨幅股价有公司
北京海淀明天的天气	北京市海淀区明天有天气
如何提高大学生数学成绩	大学生有提高数学成绩
奔驰最近营业额	奔驰最近有营业额
奔驰近两年的营业额	奔驰近两年有营业额
如何提高大学生上课效率	如何提高大学生上课效率
怎么提高销售量	怎么提高销售量
